06-12-2026 19:43:06 RAM 1479/7607MB (lfb 62x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,75%@1728,69%@1728,60%@1728,11%@1728,33%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C soc2@49.625C soc0@50.062C gpu@51.437C tj@51.656C soc1@50.656C VDD_IN 6407mW/6407mW VDD_CPU_GPU_CV 1931mW/1931mW VDD_SOC 1542mW/1542mW
06-12-2026 19:43:06 RAM 1540/7607MB (lfb 62x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,18%@1728,27%@1728,10%@1728,0%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@49.625C soc0@50.093C gpu@51.437C tj@51.718C soc1@50.656C VDD_IN 6318mW/6363mW VDD_CPU_GPU_CV 2010mW/1971mW VDD_SOC 1540mW/1541mW
06-12-2026 19:43:06 RAM 1633/7607MB (lfb 62x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,27%@1728,33%@1728,25%@1728,15%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@49.718C soc0@50.031C gpu@51.656C tj@51.656C soc1@50.593C VDD_IN 6763mW/6496mW VDD_CPU_GPU_CV 2128mW/2023mW VDD_SOC 1619mW/1567mW
06-12-2026 19:43:06 RAM 1737/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,66%@1728,72%@1728,75%@1728,27%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.781C soc0@50C gpu@51.437C tj@52.906C soc1@50.656C VDD_IN 9997mW/7371mW VDD_CPU_GPU_CV 5091mW/2790mW VDD_SOC 1692mW/1598mW
06-12-2026 19:43:06 RAM 1737/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,22%@1728,36%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@49.843C soc0@50.187C gpu@51.531C tj@53.218C soc1@50.656C VDD_IN 9761mW/7849mW VDD_CPU_GPU_CV 4864mW/3205mW VDD_SOC 1731mW/1625mW
06-12-2026 19:43:06 RAM 1737/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,41%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.031C soc0@50.093C gpu@51.593C tj@53.312C soc1@50.625C VDD_IN 9997mW/8207mW VDD_CPU_GPU_CV 4825mW/3475mW VDD_SOC 1731mW/1643mW
06-12-2026 19:43:07 RAM 1737/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,41%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.437C soc2@50.062C soc0@50.156C gpu@51.687C tj@53.437C soc1@50.687C VDD_IN 10312mW/8508mW VDD_CPU_GPU_CV 5209mW/3723mW VDD_SOC 1768mW/1660mW
06-12-2026 19:43:07 RAM 1736/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,30%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.093C soc0@50.25C gpu@51.718C tj@53.656C soc1@50.718C VDD_IN 9840mW/8674mW VDD_CPU_GPU_CV 4904mW/3870mW VDD_SOC 1731mW/1669mW
06-12-2026 19:43:07 RAM 1736/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1728,38%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.218C soc0@50.093C gpu@51.75C tj@53.593C soc1@50.656C VDD_IN 9643mW/8782mW VDD_CPU_GPU_CV 4707mW/3963mW VDD_SOC 1731mW/1676mW
06-12-2026 19:43:07 RAM 1736/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@1728,33%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.531C soc2@50.218C soc0@50.187C gpu@51.906C tj@53.531C soc1@50.937C VDD_IN 9918mW/8896mW VDD_CPU_GPU_CV 4974mW/4064mW VDD_SOC 1731mW/1682mW
06-12-2026 19:43:07 RAM 1736/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,41%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.156C soc0@50.093C gpu@51.875C tj@53.593C soc1@50.687C VDD_IN 9682mW/8967mW VDD_CPU_GPU_CV 4629mW/4116mW VDD_SOC 1692mW/1683mW
