06-12-2026 19:39:45 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,25%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@49C soc0@49.031C gpu@50.687C tj@52.312C soc1@49.468C VDD_IN 9721mW/8883mW VDD_CPU_GPU_CV 4747mW/4058mW VDD_SOC 1731mW/1669mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,0%@1728,33%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@49.093C soc0@49.031C gpu@50.75C tj@52.312C soc1@49.656C VDD_IN 9918mW/8957mW VDD_CPU_GPU_CV 5100mW/4133mW VDD_SOC 1731mW/1673mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,9%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.593C soc2@49.093C soc0@49.125C gpu@50.968C tj@52.593C soc1@49.562C VDD_IN 9603mW/9000mW VDD_CPU_GPU_CV 4668mW/4168mW VDD_SOC 1731mW/1677mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,27%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@49.187C soc0@49.031C gpu@50.718C tj@52.406C soc1@49.531C VDD_IN 9643mW/9040mW VDD_CPU_GPU_CV 4629mW/4197mW VDD_SOC 1731mW/1681mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,11%@1728,25%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.093C soc0@49.031C gpu@50.718C tj@52.375C soc1@49.687C VDD_IN 9918mW/9092mW VDD_CPU_GPU_CV 5021mW/4246mW VDD_SOC 1771mW/1686mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,18%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.531C soc2@49.156C soc0@49.125C gpu@50.937C tj@52.531C soc1@49.531C VDD_IN 9658mW/9124mW VDD_CPU_GPU_CV 4668mW/4269mW VDD_SOC 1692mW/1686mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,25%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@49.218C soc0@49.031C gpu@50.718C tj@52.437C soc1@49.687C VDD_IN 9800mW/9159mW VDD_CPU_GPU_CV 4786mW/4296mW VDD_SOC 1692mW/1687mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,10%@1728,27%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.75C soc2@49.218C soc0@48.937C gpu@51.062C tj@52.75C soc1@49.718C VDD_IN 9958mW/9199mW VDD_CPU_GPU_CV 4904mW/4327mW VDD_SOC 1731mW/1689mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,25%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.531C soc2@49.187C soc0@49.187C gpu@50.812C tj@52.531C soc1@49.625C VDD_IN 9525mW/9215mW VDD_CPU_GPU_CV 4629mW/4341mW VDD_SOC 1731mW/1691mW
06-12-2026 19:39:46 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,25%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@49.218C soc0@49.156C gpu@50.937C tj@52.437C soc1@49.718C VDD_IN 9682mW/9236mW VDD_CPU_GPU_CV 4747mW/4359mW VDD_SOC 1731mW/1693mW
06-12-2026 19:39:47 RAM 1746/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,20%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.281C soc0@49C gpu@50.937C tj@52.625C soc1@49.781C VDD_IN 9918mW/9266mW VDD_CPU_GPU_CV 5131mW/4393mW VDD_SOC 1731mW/1694mW
