06-12-2026 19:41:01 RAM 1478/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,72%@1728,72%@1728,60%@1728,46%@729,30%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@49.187C soc0@49.625C gpu@51.031C tj@51.218C soc1@50.281C VDD_IN 6436mW/6436mW VDD_CPU_GPU_CV 2050mW/2050mW VDD_SOC 1542mW/1542mW
06-12-2026 19:41:02 RAM 1536/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,16%@1728,16%@1728,25%@1728,25%@729,9%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.312C soc2@49.375C soc0@49.812C gpu@51.125C tj@51.312C soc1@50.281C VDD_IN 6486mW/6461mW VDD_CPU_GPU_CV 2207mW/2129mW VDD_SOC 1540mW/1541mW
06-12-2026 19:41:02 RAM 1619/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,18%@1728,10%@1728,0%@1728,9%@729,30%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C soc2@49.312C soc0@49.687C gpu@51.437C tj@51.437C soc1@50.343C VDD_IN 6288mW/6403mW VDD_CPU_GPU_CV 1774mW/2010mW VDD_SOC 1540mW/1541mW
06-12-2026 19:41:02 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,54%@1728,58%@1728,61%@1728,18%@729,33%@1267] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@49.343C soc0@49.75C gpu@51.25C tj@52.187C soc1@50.281C VDD_IN 9304mW/7129mW VDD_CPU_GPU_CV 4354mW/2596mW VDD_SOC 1695mW/1579mW
06-12-2026 19:41:02 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@729,33%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.625C soc0@49.843C gpu@51.562C tj@52.718C soc1@50.218C VDD_IN 9958mW/7694mW VDD_CPU_GPU_CV 4904mW/3058mW VDD_SOC 1771mW/1618mW
06-12-2026 19:41:02 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@883,54%@883] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@49.625C soc0@49.812C gpu@51.437C tj@52.687C soc1@50.218C VDD_IN 9879mW/8059mW VDD_CPU_GPU_CV 4590mW/3313mW VDD_SOC 1731mW/1637mW
06-12-2026 19:41:02 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@729,38%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@49.718C soc0@49.812C gpu@51.406C tj@52.968C soc1@50.437C VDD_IN 9501mW/8265mW VDD_CPU_GPU_CV 4668mW/3507mW VDD_SOC 1692mW/1644mW
06-12-2026 19:41:02 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@729,30%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@49.812C soc0@49.781C gpu@51.562C tj@53.187C soc1@50.406C VDD_IN 9485mW/8417mW VDD_CPU_GPU_CV 4629mW/3647mW VDD_SOC 1731mW/1655mW
06-12-2026 19:41:02 RAM 1736/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1728,45%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.156C soc2@49.75C soc0@49.843C gpu@51.437C tj@53.156C soc1@50.468C VDD_IN 10312mW/8628mW VDD_CPU_GPU_CV 5209mW/3821mW VDD_SOC 1807mW/1672mW
06-12-2026 19:41:02 RAM 1735/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@729,50%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.156C soc2@49.968C soc0@49.843C gpu@51.531C tj@53.156C soc1@50.437C VDD_IN 9721mW/8737mW VDD_CPU_GPU_CV 4825mW/3921mW VDD_SOC 1731mW/1678mW
06-12-2026 19:41:03 RAM 1735/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@960,41%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.968C soc0@49.812C gpu@51.687C tj@53.093C soc1@50.593C VDD_IN 9997mW/8852mW VDD_CPU_GPU_CV 4864mW/4007mW VDD_SOC 1771mW/1686mW
