06-12-2026 19:03:35 RAM 1453/7607MB (lfb 71x4MB) SWAP 0/3804MB (cached 0MB) CPU [63%@1728,100%@1728,63%@1728,66%@1728,10%@883,25%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@49.187C soc0@49.812C gpu@51.218C tj@51.218C soc1@50.5C VDD_IN 6446mW/6446mW VDD_CPU_GPU_CV 2168mW/2168mW VDD_SOC 1500mW/1500mW
06-12-2026 19:03:35 RAM 1521/7607MB (lfb 71x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,100%@1728,18%@1728,16%@1728,0%@729,9%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@49.25C soc0@49.875C gpu@51.093C tj@51.125C soc1@50.343C VDD_IN 6002mW/6224mW VDD_CPU_GPU_CV 1774mW/1971mW VDD_SOC 1500mW/1500mW
06-12-2026 19:03:35 RAM 1637/7607MB (lfb 71x4MB) SWAP 0/3804MB (cached 0MB) CPU [9%@1728,100%@1728,9%@1728,16%@1728,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@49.312C soc0@49.781C gpu@51.156C tj@51.156C soc1@50.312C VDD_IN 6605mW/6351mW VDD_CPU_GPU_CV 1971mW/1971mW VDD_SOC 1579mW/1526mW
06-12-2026 19:03:35 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [72%@1728,100%@1728,70%@1728,80%@1728,18%@1113,27%@1113] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.343C soc2@49.375C soc0@49.75C gpu@51.218C tj@52.343C soc1@50.468C VDD_IN 9501mW/7139mW VDD_CPU_GPU_CV 4550mW/2616mW VDD_SOC 1692mW/1568mW
06-12-2026 19:03:35 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@729,27%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.812C soc2@49.625C soc0@49.906C gpu@51.531C tj@52.812C soc1@50.343C VDD_IN 9264mW/7564mW VDD_CPU_GPU_CV 4165mW/2926mW VDD_SOC 1695mW/1593mW
06-12-2026 19:03:35 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@1113,27%@1113] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.781C soc0@49.843C gpu@51.437C tj@52.906C soc1@50.375C VDD_IN 9658mW/7913mW VDD_CPU_GPU_CV 4707mW/3223mW VDD_SOC 1692mW/1610mW
06-12-2026 19:03:35 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1036,27%@1036] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@49.75C soc0@49.812C gpu@51.718C tj@53.187C soc1@50.531C VDD_IN 9564mW/8149mW VDD_CPU_GPU_CV 4668mW/3429mW VDD_SOC 1731mW/1627mW
06-12-2026 19:03:36 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@729,20%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.343C soc2@49.875C soc0@50.031C gpu@51.437C tj@53.343C soc1@50.437C VDD_IN 9564mW/8326mW VDD_CPU_GPU_CV 4668mW/3584mW VDD_SOC 1731mW/1640mW
06-12-2026 19:03:36 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@960,22%@960] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.156C soc2@49.968C soc0@49.875C gpu@51.75C tj@53.156C soc1@50.468C VDD_IN 9895mW/8500mW VDD_CPU_GPU_CV 4864mW/3726mW VDD_SOC 1771mW/1655mW
06-12-2026 19:03:36 RAM 1713/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,11%@729,38%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@49.937C soc0@49.875C gpu@51.531C tj@53.031C soc1@50.687C VDD_IN 9343mW/8584mW VDD_CPU_GPU_CV 4550mW/3809mW VDD_SOC 1731mW/1662mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@729,36%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@49.968C soc0@49.843C gpu@51.5C tj@53.218C soc1@50.5C VDD_IN 9761mW/8691mW VDD_CPU_GPU_CV 4864mW/3904mW VDD_SOC 1731mW/1668mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@729,38%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.062C soc0@50C gpu@51.593C tj@53.406C soc1@50.5C VDD_IN 9761mW/8780mW VDD_CPU_GPU_CV 4904mW/3988mW VDD_SOC 1731mW/1674mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@729,27%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.343C soc2@50.125C soc0@50C gpu@51.562C tj@53.343C soc1@50.593C VDD_IN 9840mW/8862mW VDD_CPU_GPU_CV 4904mW/4058mW VDD_SOC 1731mW/1678mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@729,25%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.062C soc0@50.031C gpu@51.687C tj@53.5C soc1@50.656C VDD_IN 9800mW/8929mW VDD_CPU_GPU_CV 4786mW/4110mW VDD_SOC 1731mW/1682mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@729,20%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.031C soc0@50.093C gpu@51.687C tj@53.593C soc1@50.593C VDD_IN 9879mW/8992mW VDD_CPU_GPU_CV 4825mW/4158mW VDD_SOC 1731mW/1685mW
06-12-2026 19:03:36 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,38%@729,30%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.156C soc0@50C gpu@51.75C tj@53.593C soc1@50.562C VDD_IN 9800mW/9043mW VDD_CPU_GPU_CV 4786mW/4197mW VDD_SOC 1692mW/1686mW
06-12-2026 19:03:37 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,11%@729,27%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.437C soc2@50.125C soc0@49.968C gpu@51.875C tj@53.437C soc1@50.718C VDD_IN 9682mW/9080mW VDD_CPU_GPU_CV 4747mW/4229mW VDD_SOC 1692mW/1686mW
06-12-2026 19:03:37 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@883,33%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.093C soc0@50.093C gpu@51.812C tj@53.562C soc1@50.656C VDD_IN 9382mW/9097mW VDD_CPU_GPU_CV 4354mW/4236mW VDD_SOC 1695mW/1686mW
06-12-2026 19:03:37 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@960,27%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.156C soc0@50C gpu@51.968C tj@53.5C soc1@50.656C VDD_IN 9658mW/9127mW VDD_CPU_GPU_CV 4668mW/4259mW VDD_SOC 1692mW/1687mW
06-12-2026 19:03:37 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@960,30%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.218C soc0@50.062C gpu@51.687C tj@53.562C soc1@50.75C VDD_IN 9446mW/9143mW VDD_CPU_GPU_CV 4550mW/4274mW VDD_SOC 1731mW/1689mW
06-12-2026 19:03:37 RAM 1712/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@883,46%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.156C soc0@50C gpu@51.937C tj@53.5C soc1@50.75C VDD_IN 9603mW/9164mW VDD_CPU_GPU_CV 4668mW/4292mW VDD_SOC 1692mW/1689mW
06-12-2026 19:03:37 RAM 1711/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@960,33%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.343C soc0@50.125C gpu@51.75C tj@53.562C soc1@50.656C VDD_IN 9603mW/9184mW VDD_CPU_GPU_CV 4629mW/4308mW VDD_SOC 1692mW/1689mW
