06-12-2026 19:02:17 RAM 1464/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [63%@1728,63%@1728,100%@1728,63%@1728,0%@1728,10%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@48.875C soc0@49.406C gpu@50.656C tj@51.062C soc1@49.718C VDD_IN 6041mW/6041mW VDD_CPU_GPU_CV 1774mW/1774mW VDD_SOC 1540mW/1540mW
06-12-2026 19:02:18 RAM 1536/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,10%@1728,100%@1728,18%@1728,0%@1728,8%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.843C soc2@48.812C soc0@49.312C gpu@50.812C tj@50.843C soc1@49.906C VDD_IN 6051mW/6046mW VDD_CPU_GPU_CV 1852mW/1813mW VDD_SOC 1542mW/1541mW
06-12-2026 19:02:18 RAM 1662/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [9%@1728,18%@1728,100%@1728,10%@1728,0%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@48.718C soc0@49.406C gpu@51C tj@51C soc1@49.75C VDD_IN 6791mW/6294mW VDD_CPU_GPU_CV 1892mW/1839mW VDD_SOC 1579mW/1554mW
06-12-2026 19:02:18 RAM 1723/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [81%@1728,81%@1728,100%@1728,75%@1728,25%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.968C soc2@49C soc0@49.312C gpu@50.718C tj@51.968C soc1@49.937C VDD_IN 9840mW/7181mW VDD_CPU_GPU_CV 4786mW/2576mW VDD_SOC 1692mW/1588mW
06-12-2026 19:02:18 RAM 1723/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,18%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@49.062C soc0@49.437C gpu@50.906C tj@52.437C soc1@49.875C VDD_IN 9501mW/7645mW VDD_CPU_GPU_CV 4747mW/3010mW VDD_SOC 1731mW/1617mW
06-12-2026 19:02:18 RAM 1724/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,16%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@49.312C soc0@49.468C gpu@50.843C tj@52.468C soc1@49.906C VDD_IN 8830mW/7842mW VDD_CPU_GPU_CV 4047mW/3183mW VDD_SOC 1655mW/1623mW
06-12-2026 19:02:18 RAM 1724/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,18%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.5C soc2@49.375C soc0@49.343C gpu@50.968C tj@52.5C soc1@50C VDD_IN 9619mW/8096mW VDD_CPU_GPU_CV 4668mW/3395mW VDD_SOC 1692mW/1633mW
06-12-2026 19:02:18 RAM 1725/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,27%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.406C soc0@49.375C gpu@51.156C tj@52.718C soc1@49.937C VDD_IN 9895mW/8321mW VDD_CPU_GPU_CV 4974mW/3593mW VDD_SOC 1731mW/1645mW
06-12-2026 19:02:18 RAM 1726/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,10%@1728,23%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.562C soc2@49.437C soc0@49.468C gpu@51.156C tj@52.906C soc1@49.937C VDD_IN 9407mW/8442mW VDD_CPU_GPU_CV 4550mW/3699mW VDD_SOC 1731mW/1655mW
06-12-2026 19:02:18 RAM 1726/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@1728,25%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.843C soc2@49.468C soc0@49.375C gpu@51.281C tj@52.843C soc1@50C VDD_IN 9682mW/8566mW VDD_CPU_GPU_CV 4707mW/3800mW VDD_SOC 1692mW/1658mW
06-12-2026 19:02:19 RAM 1725/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,20%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.843C soc2@49.5C soc0@49.343C gpu@51.093C tj@52.843C soc1@49.968C VDD_IN 10194mW/8714mW VDD_CPU_GPU_CV 5248mW/3931mW VDD_SOC 1771mW/1669mW
06-12-2026 19:02:19 RAM 1726/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,9%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@49.531C soc0@49.5C gpu@51.156C tj@52.937C soc1@50C VDD_IN 9540mW/8783mW VDD_CPU_GPU_CV 4590mW/3986mW VDD_SOC 1692mW/1671mW
06-12-2026 19:02:19 RAM 1725/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,20%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.843C soc2@49.625C soc0@49.437C gpu@51.25C tj@52.843C soc1@50.125C VDD_IN 9461mW/8835mW VDD_CPU_GPU_CV 4590mW/4033mW VDD_SOC 1692mW/1672mW
06-12-2026 19:02:19 RAM 1725/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,10%@1728,23%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.062C soc2@49.562C soc0@49.562C gpu@51.375C tj@53.062C soc1@50.125C VDD_IN 10036mW/8921mW VDD_CPU_GPU_CV 5060mW/4106mW VDD_SOC 1731mW/1676mW
06-12-2026 19:02:19 RAM 1726/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,18%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.656C soc0@49.437C gpu@51.187C tj@52.906C soc1@50.031C VDD_IN 9721mW/8974mW VDD_CPU_GPU_CV 4786mW/4151mW VDD_SOC 1731mW/1680mW
06-12-2026 19:02:19 RAM 1725/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@1728,18%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@49.687C soc0@49.406C gpu@51.281C tj@53.218C soc1@50.062C VDD_IN 9800mW/9026mW VDD_CPU_GPU_CV 4825mW/4194mW VDD_SOC 1731mW/1683mW
06-12-2026 19:02:19 RAM 1724/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,27%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@49.687C soc0@49.625C gpu@51.218C tj@53.031C soc1@50.093C VDD_IN 10076mW/9087mW VDD_CPU_GPU_CV 5209mW/4253mW VDD_SOC 1731mW/1686mW
06-12-2026 19:02:19 RAM 1724/7607MB (lfb 56x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,16%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@49.718C soc0@49.562C gpu@51.343C tj@53C soc1@50.281C VDD_IN 9185mW/9093mW VDD_CPU_GPU_CV 4276mW/4255mW VDD_SOC 1655mW/1684mW
