06-12-2026 19:06:13 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,45%@729,54%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@49.718C soc0@49.843C gpu@51.406C tj@52.156C soc1@50.562C VDD_IN 6515mW/8065mW VDD_CPU_GPU_CV 1971mW/3346mW VDD_SOC 1658mW/1677mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,40%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.718C soc0@50C gpu@51.812C tj@52.906C soc1@50.5C VDD_IN 8752mW/8114mW VDD_CPU_GPU_CV 3890mW/3385mW VDD_SOC 1695mW/1678mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,40%@729,36%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.281C soc2@49.906C soc0@49.906C gpu@51.437C tj@52.281C soc1@50.5C VDD_IN 6357mW/7997mW VDD_CPU_GPU_CV 1892mW/3286mW VDD_SOC 1579mW/1671mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,53%@729,41%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@49.843C soc0@49.937C gpu@51.781C tj@52C soc1@50.312C VDD_IN 6436mW/7899mW VDD_CPU_GPU_CV 1771mW/3191mW VDD_SOC 1579mW/1666mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,46%@1344,50%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.781C soc0@49.875C gpu@51.437C tj@52.375C soc1@50.656C VDD_IN 8213mW/7918mW VDD_CPU_GPU_CV 3070mW/3184mW VDD_SOC 1658mW/1665mW
06-12-2026 19:06:14 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,36%@1344,33%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.781C soc0@50C gpu@51.406C tj@52.625C soc1@50.593C VDD_IN 7937mW/7919mW VDD_CPU_GPU_CV 2952mW/3171mW VDD_SOC 1658mW/1665mW
06-12-2026 19:06:14 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,45%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.781C soc0@49.968C gpu@51.593C tj@52.906C soc1@50.468C VDD_IN 9146mW/7983mW VDD_CPU_GPU_CV 4047mW/3217mW VDD_SOC 1695mW/1666mW
06-12-2026 19:06:14 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,54%@1344,36%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.343C soc2@49.812C soc0@49.906C gpu@51.562C tj@52.343C soc1@50.593C VDD_IN 7858mW/7977mW VDD_CPU_GPU_CV 3030mW/3208mW VDD_SOC 1655mW/1666mW
06-12-2026 19:06:14 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,45%@1574,12%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.75C soc0@50.031C gpu@51.75C tj@53.093C soc1@50.625C VDD_IN 8870mW/8020mW VDD_CPU_GPU_CV 4008mW/3246mW VDD_SOC 1695mW/1667mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,61%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@49.968C soc0@50.031C gpu@51.781C tj@52.937C soc1@50.468C VDD_IN 8870mW/8058mW VDD_CPU_GPU_CV 3968mW/3279mW VDD_SOC 1731mW/1670mW
06-12-2026 19:06:15 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,63%@1574,60%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.812C soc0@49.875C gpu@51.781C tj@52.625C soc1@50.562C VDD_IN 9382mW/8116mW VDD_CPU_GPU_CV 4433mW/3329mW VDD_SOC 1771mW/1674mW
06-12-2026 19:06:15 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,41%@1574,36%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@49.937C soc0@50.031C gpu@51.562C tj@53C soc1@50.593C VDD_IN 8909mW/8149mW VDD_CPU_GPU_CV 3968mW/3356mW VDD_SOC 1734mW/1677mW
