06-12-2026 19:45:41 RAM 1483/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,72%@1728,75%@1728,72%@1728,30%@729,42%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@50.125C soc0@50.625C gpu@52.093C tj@52.218C soc1@51.437C VDD_IN 6130mW/6130mW VDD_CPU_GPU_CV 2050mW/2050mW VDD_SOC 1500mW/1500mW
06-12-2026 19:45:41 RAM 1541/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,27%@1728,18%@1728,18%@1728,18%@806,33%@806] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@50.218C soc0@50.5C gpu@52.031C tj@52.437C soc1@51.25C VDD_IN 6120mW/6125mW VDD_CPU_GPU_CV 2089mW/2070mW VDD_SOC 1579mW/1540mW
06-12-2026 19:45:41 RAM 1628/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,25%@1728,25%@1728,27%@1728,27%@729,25%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.281C soc2@50.125C soc0@50.718C gpu@52.125C tj@52.281C soc1@51.218C VDD_IN 6367mW/6206mW VDD_CPU_GPU_CV 1892mW/2010mW VDD_SOC 1658mW/1579mW
06-12-2026 19:45:41 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,69%@1728,72%@1728,60%@1728,40%@1497,33%@1497] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.25C soc2@50.281C soc0@50.562C gpu@52.062C tj@53.25C soc1@51.437C VDD_IN 9997mW/7154mW VDD_CPU_GPU_CV 4982mW/2753mW VDD_SOC 1692mW/1607mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1036,45%@1036] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.406C soc0@50.656C gpu@52.125C tj@53.656C soc1@51.406C VDD_IN 9564mW/7636mW VDD_CPU_GPU_CV 4590mW/3121mW VDD_SOC 1731mW/1632mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,61%@1267,54%@1267] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@50.562C soc0@50.562C gpu@52.218C tj@53.812C soc1@51.406C VDD_IN 10036mW/8036mW VDD_CPU_GPU_CV 4786mW/3398mW VDD_SOC 1849mW/1668mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@1574,40%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.906C soc2@50.625C soc0@50.625C gpu@52.187C tj@53.906C soc1@51.312C VDD_IN 9721mW/8276mW VDD_CPU_GPU_CV 4786mW/3596mW VDD_SOC 1771mW/1683mW
06-12-2026 19:45:42 RAM 1745/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,75%@1728,70%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54C soc2@50.656C soc0@50.687C gpu@52.625C tj@54C soc1@51.468C VDD_IN 9540mW/8434mW VDD_CPU_GPU_CV 4786mW/3745mW VDD_SOC 1731mW/1689mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1651,45%@1651] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.781C soc0@50.75C gpu@52.437C tj@54.093C soc1@51.406C VDD_IN 9721mW/8577mW VDD_CPU_GPU_CV 4707mW/3852mW VDD_SOC 1692mW/1689mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,63%@1420,61%@1420] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@50.781C soc0@50.593C gpu@52.687C tj@54.187C soc1@51.437C VDD_IN 9761mW/8696mW VDD_CPU_GPU_CV 4864mW/3953mW VDD_SOC 1731mW/1693mW
06-12-2026 19:45:42 RAM 1744/7607MB (lfb 60x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1344,25%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.812C soc0@50.625C gpu@52.562C tj@54.062C soc1@51.406C VDD_IN 9264mW/8747mW VDD_CPU_GPU_CV 4479mW/4001mW VDD_SOC 1692mW/1693mW
