06-12-2026 19:04:53 RAM 1729/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@960,58%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50C soc0@50.093C gpu@51.937C tj@53.406C soc1@50.593C VDD_IN 9958mW/8888mW VDD_CPU_GPU_CV 4935mW/4033mW VDD_SOC 1731mW/1684mW
06-12-2026 19:04:53 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1113,50%@1113] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.187C soc0@50C gpu@51.812C tj@53.468C soc1@50.593C VDD_IN 10233mW/8984mW VDD_CPU_GPU_CV 5131mW/4111mW VDD_SOC 1768mW/1690mW
06-12-2026 19:04:54 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,27%@1190,33%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.093C soc0@50.031C gpu@51.718C tj@53.312C soc1@50.593C VDD_IN 9721mW/9033mW VDD_CPU_GPU_CV 4904mW/4164mW VDD_SOC 1731mW/1693mW
06-12-2026 19:04:54 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1190,30%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.093C soc0@49.968C gpu@51.812C tj@53.656C soc1@50.656C VDD_IN 9682mW/9074mW VDD_CPU_GPU_CV 4629mW/4193mW VDD_SOC 1731mW/1696mW
06-12-2026 19:04:54 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@729,20%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.125C soc0@50.031C gpu@51.812C tj@53.5C soc1@50.656C VDD_IN 9564mW/9103mW VDD_CPU_GPU_CV 4629mW/4219mW VDD_SOC 1731mW/1698mW
06-12-2026 19:04:54 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@729,42%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.25C soc0@50.093C gpu@51.968C tj@53.593C soc1@50.687C VDD_IN 9777mW/9140mW VDD_CPU_GPU_CV 4825mW/4253mW VDD_SOC 1731mW/1699mW
06-12-2026 19:04:54 RAM 1731/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,84%@960,50%@960] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.531C soc2@50.187C soc0@50.093C gpu@51.687C tj@53.531C soc1@50.687C VDD_IN 10194mW/9196mW VDD_CPU_GPU_CV 5013mW/4293mW VDD_SOC 1771mW/1703mW
06-12-2026 19:04:54 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,54%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.281C soc2@50.281C soc0@50.062C gpu@52.062C tj@53.281C soc1@50.75C VDD_IN 9658mW/9219mW VDD_CPU_GPU_CV 4511mW/4304mW VDD_SOC 1771mW/1707mW
06-12-2026 19:04:54 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1728,40%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@50.187C soc0@50.031C gpu@51.718C tj@53.781C soc1@50.781C VDD_IN 9918mW/9252mW VDD_CPU_GPU_CV 4864mW/4330mW VDD_SOC 1731mW/1708mW
06-12-2026 19:04:54 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@806,45%@806] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@50.218C soc0@50.218C gpu@52.031C tj@53.781C soc1@50.75C VDD_IN 9682mW/9272mW VDD_CPU_GPU_CV 4747mW/4349mW VDD_SOC 1692mW/1707mW
