06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,60%@1344,41%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.968C soc2@50.593C soc0@50.531C gpu@52.218C tj@54.187C soc1@51.156C VDD_IN 9918mW/8937mW VDD_CPU_GPU_CV 5060mW/4105mW VDD_SOC 1771mW/1678mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1420,50%@1420] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.031C soc2@50.656C soc0@50.468C gpu@52.187C tj@54.031C soc1@51.125C VDD_IN 9958mW/9010mW VDD_CPU_GPU_CV 4935mW/4164mW VDD_SOC 1731mW/1682mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@883,50%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.656C soc0@50.468C gpu@52.187C tj@54.093C soc1@51.218C VDD_IN 9997mW/9076mW VDD_CPU_GPU_CV 5091mW/4226mW VDD_SOC 1731mW/1685mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1651,45%@1651] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.125C soc2@50.593C soc0@50.531C gpu@52.281C tj@54.125C soc1@51.187C VDD_IN 9721mW/9116mW VDD_CPU_GPU_CV 4629mW/4251mW VDD_SOC 1731mW/1688mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@1036,50%@1036] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.593C soc0@50.531C gpu@52.312C tj@54.156C soc1@51.25C VDD_IN 10036mW/9170mW VDD_CPU_GPU_CV 5013mW/4296mW VDD_SOC 1731mW/1691mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@729,45%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.843C soc0@50.5C gpu@52.25C tj@54.218C soc1@51.218C VDD_IN 9879mW/9210mW VDD_CPU_GPU_CV 5060mW/4338mW VDD_SOC 1731mW/1693mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1190,61%@1190] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.718C soc0@50.468C gpu@52.406C tj@54.093C soc1@51.343C VDD_IN 9958mW/9249mW VDD_CPU_GPU_CV 4904mW/4368mW VDD_SOC 1731mW/1695mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,61%@1344,40%@1344] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.75C soc0@50.5C gpu@52.281C tj@54.343C soc1@51.281C VDD_IN 9997mW/9287mW VDD_CPU_GPU_CV 5052mW/4402mW VDD_SOC 1731mW/1697mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@729,50%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.812C soc0@50.625C gpu@52.281C tj@54.093C soc1@51.218C VDD_IN 9958mW/9319mW VDD_CPU_GPU_CV 4935mW/4428mW VDD_SOC 1731mW/1698mW
06-12-2026 19:44:26 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@1267,33%@1267] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.812C soc0@50.5C gpu@52.375C tj@54.218C soc1@51.25C VDD_IN 9761mW/9339mW VDD_CPU_GPU_CV 4935mW/4451mW VDD_SOC 1731mW/1700mW
