06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,50%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.968C soc0@50C gpu@51.687C tj@52.906C soc1@50.625C VDD_IN 9461mW/8012mW VDD_CPU_GPU_CV 4315mW/3065mW VDD_SOC 1695mW/1609mW
06-12-2026 22:01:35 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,50%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.093C soc0@50.062C gpu@51.593C tj@52.937C soc1@50.781C VDD_IN 8988mW/8082mW VDD_CPU_GPU_CV 3811mW/3119mW VDD_SOC 1774mW/1620mW
06-12-2026 22:01:35 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,50%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50C soc0@50.062C gpu@51.593C tj@52.906C soc1@50.687C VDD_IN 8830mW/8131mW VDD_CPU_GPU_CV 4276mW/3196mW VDD_SOC 1734mW/1628mW
06-12-2026 22:01:35 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,63%@1574,50%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.125C soc2@50.093C soc0@50.125C gpu@51.687C tj@53.125C soc1@50.656C VDD_IN 9185mW/8197mW VDD_CPU_GPU_CV 4243mW/3261mW VDD_SOC 1655mW/1630mW
06-12-2026 22:01:35 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,61%@1574,40%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.281C soc2@50.031C soc0@50.062C gpu@51.843C tj@53.281C soc1@50.75C VDD_IN 9682mW/8285mW VDD_CPU_GPU_CV 4158mW/3314mW VDD_SOC 1810mW/1640mW
06-12-2026 22:01:35 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,30%@1574,50%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@50.125C soc0@50.187C gpu@52.062C tj@53.093C soc1@50.687C VDD_IN 8737mW/8310mW VDD_CPU_GPU_CV 3295mW/3313mW VDD_SOC 1731mW/1645mW
06-12-2026 22:01:35 RAM 1814/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,40%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.187C soc0@50.156C gpu@51.812C tj@53.093C soc1@50.906C VDD_IN 8121mW/8300mW VDD_CPU_GPU_CV 3890mW/3343mW VDD_SOC 1655mW/1646mW
06-12-2026 22:01:35 RAM 1814/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,69%@1344,72%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@50.031C soc0@50.281C gpu@52.031C tj@52.781C soc1@50.812C VDD_IN 7976mW/8284mW VDD_CPU_GPU_CV 3030mW/3328mW VDD_SOC 1658mW/1646mW
06-12-2026 22:01:35 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,69%@1574,58%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50.156C soc0@50.218C gpu@51.781C tj@53C soc1@50.718C VDD_IN 7766mW/8259mW VDD_CPU_GPU_CV 3109mW/3317mW VDD_SOC 1697mW/1649mW
06-12-2026 22:01:35 RAM 1814/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,50%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.062C soc2@50.093C soc0@50.156C gpu@51.906C tj@53.062C soc1@50.906C VDD_IN 8121mW/8253mW VDD_CPU_GPU_CV 3811mW/3340mW VDD_SOC 1655mW/1649mW
