06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1344,45%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.781C soc0@50.625C gpu@52.5C tj@54.062C soc1@51.312C VDD_IN 10469mW/8984mW VDD_CPU_GPU_CV 5209mW/4189mW VDD_SOC 1731mW/1666mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@806,36%@806] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.25C soc2@50.718C soc0@50.625C gpu@52.687C tj@54.25C soc1@51.375C VDD_IN 10076mW/9062mW VDD_CPU_GPU_CV 4896mW/4239mW VDD_SOC 1692mW/1668mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1420,45%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.031C soc2@50.75C soc0@50.593C gpu@52.562C tj@54.031C soc1@51.406C VDD_IN 9761mW/9108mW VDD_CPU_GPU_CV 4472mW/4255mW VDD_SOC 1692mW/1669mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1190,45%@1190] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.843C soc0@50.75C gpu@52.375C tj@54.281C soc1@51.375C VDD_IN 10391mW/9189mW VDD_CPU_GPU_CV 5139mW/4310mW VDD_SOC 1729mW/1673mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1113,40%@1113] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.875C soc0@50.687C gpu@52.343C tj@54.093C soc1@51.562C VDD_IN 10391mW/9259mW VDD_CPU_GPU_CV 4511mW/4322mW VDD_SOC 1692mW/1674mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,37%@883,45%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@50.843C soc0@50.781C gpu@52.5C tj@54.375C soc1@51.531C VDD_IN 8856mW/9237mW VDD_CPU_GPU_CV 4511mW/4333mW VDD_SOC 1692mW/1675mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@729,50%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.843C soc0@50.75C gpu@52.468C tj@54.281C soc1@51.375C VDD_IN 9840mW/9269mW VDD_CPU_GPU_CV 4629mW/4348mW VDD_SOC 1689mW/1676mW
06-12-2026 22:00:16 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1420,45%@1420] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.968C soc0@50.687C gpu@52.593C tj@54.218C soc1@51.468C VDD_IN 10076mW/9309mW VDD_CPU_GPU_CV 5170mW/4389mW VDD_SOC 1692mW/1677mW
06-12-2026 22:00:16 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@960,40%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.937C soc0@50.687C gpu@52.781C tj@54.281C soc1@51.5C VDD_IN 9603mW/9323mW VDD_CPU_GPU_CV 4974mW/4417mW VDD_SOC 1692mW/1678mW
06-12-2026 22:00:16 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1420,50%@1420] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.875C soc0@50.875C gpu@52.687C tj@54.343C soc1@51.468C VDD_IN 9997mW/9354mW VDD_CPU_GPU_CV 4778mW/4433mW VDD_SOC 1692mW/1678mW
