06-12-2026 19:52:12 RAM 1492/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [70%@1728,60%@1728,100%@1728,70%@1728,38%@866,27%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.25C soc2@50.062C soc0@50.562C gpu@52.062C tj@52.25C soc1@51.156C VDD_IN 6199mW/6199mW VDD_CPU_GPU_CV 1852mW/1852mW VDD_SOC 1500mW/1500mW
06-12-2026 19:52:13 RAM 1556/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,38%@1728,100%@1728,30%@1728,18%@960,8%@960] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@50.062C soc0@50.531C gpu@52.125C tj@52.218C soc1@51.187C VDD_IN 6199mW/6199mW VDD_CPU_GPU_CV 1892mW/1872mW VDD_SOC 1540mW/1520mW
06-12-2026 19:52:13 RAM 1660/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [36%@1728,20%@1728,100%@1728,11%@1728,16%@729,9%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@49.937C soc0@50.75C gpu@51.875C tj@52.218C soc1@51.187C VDD_IN 6644mW/6347mW VDD_CPU_GPU_CV 1971mW/1905mW VDD_SOC 1619mW/1553mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [70%@1728,80%@1728,100%@1728,72%@1728,27%@883,36%@883] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.187C soc0@50.562C gpu@51.968C tj@53.468C soc1@51.156C VDD_IN 9918mW/7240mW VDD_CPU_GPU_CV 4864mW/2645mW VDD_SOC 1692mW/1588mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1113,45%@1113] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.718C soc2@50.375C soc0@50.468C gpu@52.187C tj@53.718C soc1@51.218C VDD_IN 9446mW/7681mW VDD_CPU_GPU_CV 4747mW/3065mW VDD_SOC 1731mW/1616mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@806,45%@806] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.937C soc2@50.468C soc0@50.593C gpu@52.093C tj@53.937C soc1@51.25C VDD_IN 9304mW/7952mW VDD_CPU_GPU_CV 4393mW/3287mW VDD_SOC 1731mW/1636mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@806,40%@806] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.75C soc2@50.468C soc0@50.5C gpu@52.343C tj@53.75C soc1@51.406C VDD_IN 9343mW/8150mW VDD_CPU_GPU_CV 4472mW/3456mW VDD_SOC 1692mW/1644mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1420,54%@1420] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.562C soc0@50.562C gpu@52.25C tj@54.218C soc1@51.312C VDD_IN 10233mW/8411mW VDD_CPU_GPU_CV 5209mW/3675mW VDD_SOC 1731mW/1655mW
06-12-2026 19:52:13 RAM 1752/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1036,30%@1036] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54C soc2@50.656C soc0@50.625C gpu@52.437C tj@54C soc1@51.312C VDD_IN 10036mW/8591mW VDD_CPU_GPU_CV 5131mW/3837mW VDD_SOC 1731mW/1663mW
06-12-2026 19:52:13 RAM 1753/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1344,30%@1344] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.718C soc0@50.625C gpu@52.343C tj@54.156C soc1@51.218C VDD_IN 9367mW/8669mW VDD_CPU_GPU_CV 4472mW/3900mW VDD_SOC 1731mW/1670mW
06-12-2026 19:52:14 RAM 1753/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1267,45%@1267] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.125C soc2@50.625C soc0@50.625C gpu@52.531C tj@54.125C soc1@51.406C VDD_IN 9879mW/8779mW VDD_CPU_GPU_CV 4935mW/3994mW VDD_SOC 1731mW/1675mW
06-12-2026 19:52:14 RAM 1753/7607MB (lfb 52x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1113,57%@1113] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.75C soc0@50.75C gpu@52.281C tj@54.343C soc1@51.343C VDD_IN 9958mW/8877mW VDD_CPU_GPU_CV 5013mW/4079mW VDD_SOC 1731mW/1680mW
