06-12-2026 19:47:01 RAM 1485/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [72%@1651,76%@1651,90%@1651,72%@1651,46%@1651,30%@1651] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.625C soc2@49.468C soc0@50.156C gpu@51.531C tj@51.625C soc1@50.687C VDD_IN 6752mW/6752mW VDD_CPU_GPU_CV 2286mW/2286mW VDD_SOC 1619mW/1619mW
06-12-2026 19:47:02 RAM 1514/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,20%@1574,25%@1574,20%@1574,27%@1574,25%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@49.593C soc0@50.093C gpu@51.687C tj@51.687C soc1@50.906C VDD_IN 6921mW/6837mW VDD_CPU_GPU_CV 2286mW/2286mW VDD_SOC 1540mW/1580mW
06-12-2026 19:47:02 RAM 1586/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,9%@1574,20%@1574,18%@1574,27%@1574,33%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@49.625C soc0@50.093C gpu@51.625C tj@51.625C soc1@50.718C VDD_IN 6515mW/6729mW VDD_CPU_GPU_CV 2128mW/2233mW VDD_SOC 1579mW/1579mW
06-12-2026 19:47:02 RAM 1743/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,36%@1574,18%@1574,20%@1574,33%@1574,33%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@49.656C soc0@50.218C gpu@51.812C tj@51.812C soc1@50.687C VDD_IN 6278mW/6617mW VDD_CPU_GPU_CV 1537mW/2059mW VDD_SOC 1579mW/1579mW
06-12-2026 19:47:02 RAM 1746/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,45%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.781C soc0@50.156C gpu@51.5C tj@52.718C soc1@50.906C VDD_IN 9382mW/7170mW VDD_CPU_GPU_CV 4401mW/2528mW VDD_SOC 1695mW/1602mW
06-12-2026 19:47:02 RAM 1746/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,50%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.843C soc0@50.218C gpu@51.687C tj@53.093C soc1@50.75C VDD_IN 8870mW/7453mW VDD_CPU_GPU_CV 4008mW/2774mW VDD_SOC 1734mW/1624mW
06-12-2026 19:47:02 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,61%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@49.937C soc0@50.218C gpu@51.687C tj@52.937C soc1@50.687C VDD_IN 9328mW/7721mW VDD_CPU_GPU_CV 4361mW/3001mW VDD_SOC 1731mW/1640mW
06-12-2026 19:47:02 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,40%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@50.093C soc0@50.156C gpu@51.718C tj@53.031C soc1@50.781C VDD_IN 9067mW/7889mW VDD_CPU_GPU_CV 4315mW/3165mW VDD_SOC 1771mW/1656mW
06-12-2026 19:47:02 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,44%@729,54%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.5C soc2@50C soc0@50.187C gpu@52C tj@52.5C soc1@50.812C VDD_IN 6763mW/7764mW VDD_CPU_GPU_CV 1968mW/3032mW VDD_SOC 1579mW/1647mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,60%@1574,63%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.062C soc2@49.937C soc0@50.281C gpu@51.875C tj@53.062C soc1@50.812C VDD_IN 8752mW/7863mW VDD_CPU_GPU_CV 3772mW/3106mW VDD_SOC 1655mW/1648mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,41%@1574,40%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@50.125C soc0@50.093C gpu@51.937C tj@53.031C soc1@51.031C VDD_IN 8830mW/7951mW VDD_CPU_GPU_CV 3929mW/3181mW VDD_SOC 1695mW/1652mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,53%@1574,73%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.156C soc0@50.187C gpu@51.718C tj@53.406C soc1@50.906C VDD_IN 9422mW/8073mW VDD_CPU_GPU_CV 4119mW/3259mW VDD_SOC 1731mW/1659mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,45%@1574,36%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.187C soc0@50.312C gpu@51.906C tj@53.312C soc1@50.843C VDD_IN 9106mW/8153mW VDD_CPU_GPU_CV 4086mW/3323mW VDD_SOC 1695mW/1662mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,50%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@50.25C soc0@50.218C gpu@51.843C tj@53.187C soc1@50.968C VDD_IN 9249mW/8231mW VDD_CPU_GPU_CV 4354mW/3396mW VDD_SOC 1692mW/1664mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1728,40%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.156C soc0@50.187C gpu@52C tj@53.406C soc1@50.906C VDD_IN 9958mW/8346mW VDD_CPU_GPU_CV 5091mW/3509mW VDD_SOC 1731mW/1668mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,63%@1574,60%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.343C soc2@50.187C soc0@50.281C gpu@51.968C tj@53.343C soc1@50.875C VDD_IN 9106mW/8394mW VDD_CPU_GPU_CV 4165mW/3550mW VDD_SOC 1695mW/1670mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,63%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.218C soc0@50.218C gpu@51.843C tj@53.312C soc1@50.906C VDD_IN 9382mW/8452mW VDD_CPU_GPU_CV 4433mW/3602mW VDD_SOC 1731mW/1674mW
06-12-2026 19:47:03 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,50%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.25C soc0@50.187C gpu@52.156C tj@53.656C soc1@50.968C VDD_IN 9721mW/8522mW VDD_CPU_GPU_CV 4550mW/3655mW VDD_SOC 1810mW/1681mW
06-12-2026 19:47:04 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,55%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@50.25C soc0@50.406C gpu@52.031C tj@53.375C soc1@50.906C VDD_IN 9485mW/8573mW VDD_CPU_GPU_CV 4276mW/3688mW VDD_SOC 1771mW/1686mW
06-12-2026 19:47:04 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.531C soc2@50.343C soc0@50.343C gpu@52.187C tj@53.531C soc1@50.875C VDD_IN 9249mW/8607mW VDD_CPU_GPU_CV 4158mW/3711mW VDD_SOC 1734mW/1688mW
06-12-2026 19:47:04 RAM 1747/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,58%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.343C soc0@50.312C gpu@51.968C tj@53.406C soc1@51.031C VDD_IN 9304mW/8640mW VDD_CPU_GPU_CV 4361mW/3742mW VDD_SOC 1734mW/1691mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,58%@1574,55%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.343C soc0@50.218C gpu@52.062C tj@53.562C soc1@51.062C VDD_IN 9367mW/8673mW VDD_CPU_GPU_CV 4472mW/3775mW VDD_SOC 1731mW/1692mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,45%@1344,50%@1344] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@50.343C soc0@50.343C gpu@52C tj@53.218C soc1@50.968C VDD_IN 8252mW/8655mW VDD_CPU_GPU_CV 3345mW/3757mW VDD_SOC 1695mW/1692mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,55%@1574,54%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.312C soc0@50.218C gpu@52C tj@53.406C soc1@51.125C VDD_IN 8949mW/8667mW VDD_CPU_GPU_CV 4283mW/3778mW VDD_SOC 1731mW/1694mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1651,100%@1651,100%@1651,100%@1651,61%@1651,50%@1651] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@50.312C soc0@50.281C gpu@52C tj@53.218C soc1@51.156C VDD_IN 9958mW/8719mW VDD_CPU_GPU_CV 4935mW/3825mW VDD_SOC 1810mW/1699mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,45%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.343C soc0@50.437C gpu@51.937C tj@53.5C soc1@50.968C VDD_IN 8949mW/8727mW VDD_CPU_GPU_CV 4165mW/3838mW VDD_SOC 1695mW/1699mW
06-12-2026 19:47:04 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,44%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.406C soc0@50.375C gpu@52.093C tj@53.406C soc1@51.031C VDD_IN 9106mW/8742mW VDD_CPU_GPU_CV 4008mW/3844mW VDD_SOC 1731mW/1700mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,80%@1574,75%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.406C soc0@50.375C gpu@52.062C tj@53.406C soc1@51.25C VDD_IN 9382mW/8764mW VDD_CPU_GPU_CV 4237mW/3858mW VDD_SOC 1692mW/1699mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,25%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.406C soc0@50.437C gpu@52.062C tj@53.656C soc1@51C VDD_IN 8949mW/8771mW VDD_CPU_GPU_CV 4243mW/3871mW VDD_SOC 1731mW/1701mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,58%@1574,64%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.468C soc0@50.406C gpu@52.187C tj@53.468C soc1@51.093C VDD_IN 9304mW/8789mW VDD_CPU_GPU_CV 4393mW/3889mW VDD_SOC 1692mW/1700mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,41%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@50.437C soc0@50.406C gpu@52.031C tj@53.375C soc1@51.125C VDD_IN 8909mW/8792mW VDD_CPU_GPU_CV 4047mW/3894mW VDD_SOC 1695mW/1700mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,63%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.531C soc2@50.343C soc0@50.468C gpu@52.031C tj@53.531C soc1@51.125C VDD_IN 8909mW/8796mW VDD_CPU_GPU_CV 4086mW/3900mW VDD_SOC 1655mW/1699mW
06-12-2026 19:47:05 RAM 1748/7607MB (lfb 58x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,41%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.406C soc0@50.531C gpu@52.031C tj@53.593C soc1@51.125C VDD_IN 9382mW/8814mW VDD_CPU_GPU_CV 4354mW/3914mW VDD_SOC 1771mW/1701mW
