06-12-2026 19:49:37 RAM 1484/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [63%@1728,60%@1728,100%@1728,60%@1728,20%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C soc2@49.281C soc0@49.812C gpu@51.375C tj@51.875C soc1@50.468C VDD_IN 6555mW/6555mW VDD_CPU_GPU_CV 2207mW/2207mW VDD_SOC 1540mW/1540mW
06-12-2026 19:49:37 RAM 1549/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@1728,38%@1728,100%@1728,20%@1728,0%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@49.343C soc0@49.968C gpu@51.187C tj@51.562C soc1@50.406C VDD_IN 6318mW/6437mW VDD_CPU_GPU_CV 2089mW/2148mW VDD_SOC 1540mW/1540mW
06-12-2026 19:49:37 RAM 1654/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,27%@1728,100%@1728,30%@1728,0%@1728,9%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@49.406C soc0@49.906C gpu@51.312C tj@51.5C soc1@50.562C VDD_IN 7028mW/6634mW VDD_CPU_GPU_CV 2326mW/2207mW VDD_SOC 1658mW/1579mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [72%@1728,72%@1728,100%@1728,70%@1728,42%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.656C soc2@49.531C soc0@49.812C gpu@51.437C tj@52.656C soc1@50.437C VDD_IN 10194mW/7524mW VDD_CPU_GPU_CV 5326mW/2987mW VDD_SOC 1731mW/1617mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@49.75C soc0@49.875C gpu@51.687C tj@52.968C soc1@50.437C VDD_IN 9879mW/7995mW VDD_CPU_GPU_CV 4825mW/3355mW VDD_SOC 1692mW/1632mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,41%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@49.718C soc0@49.75C gpu@51.406C tj@53.375C soc1@50.531C VDD_IN 10036mW/8335mW VDD_CPU_GPU_CV 5060mW/3639mW VDD_SOC 1731mW/1649mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,45%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@49.843C soc0@49.937C gpu@51.593C tj@53.531C soc1@50.406C VDD_IN 9540mW/8507mW VDD_CPU_GPU_CV 4825mW/3808mW VDD_SOC 1731mW/1660mW
06-12-2026 19:49:38 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1728,45%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@49.906C soc0@49.906C gpu@51.718C tj@53.375C soc1@50.5C VDD_IN 10115mW/8708mW VDD_CPU_GPU_CV 4982mW/3955mW VDD_SOC 1731mW/1669mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,30%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50C soc0@49.843C gpu@51.531C tj@53.312C soc1@50.562C VDD_IN 9958mW/8847mW VDD_CPU_GPU_CV 5021mW/4073mW VDD_SOC 1729mW/1676mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,22%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50C soc0@50C gpu@51.656C tj@53.593C soc1@50.5C VDD_IN 9564mW/8919mW VDD_CPU_GPU_CV 4825mW/4149mW VDD_SOC 1731mW/1681mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,36%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.062C soc0@49.937C gpu@51.75C tj@53.468C soc1@50.625C VDD_IN 10076mW/9024mW VDD_CPU_GPU_CV 4935mW/4220mW VDD_SOC 1731mW/1686mW
06-12-2026 19:49:38 RAM 1744/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.718C soc2@50.125C soc0@50.031C gpu@51.687C tj@53.718C soc1@50.687C VDD_IN 9997mW/9105mW VDD_CPU_GPU_CV 5170mW/4299mW VDD_SOC 1731mW/1690mW
06-12-2026 19:49:38 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,41%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.625C soc2@50.125C soc0@50C gpu@51.75C tj@53.625C soc1@50.593C VDD_IN 9407mW/9128mW VDD_CPU_GPU_CV 4550mW/4319mW VDD_SOC 1731mW/1693mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,30%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.5C soc2@50.156C soc0@49.937C gpu@51.687C tj@53.5C soc1@50.718C VDD_IN 9997mW/9190mW VDD_CPU_GPU_CV 5091mW/4374mW VDD_SOC 1729mW/1695mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.062C soc0@50.031C gpu@51.718C tj@53.656C soc1@50.656C VDD_IN 9918mW/9239mW VDD_CPU_GPU_CV 5052mW/4419mW VDD_SOC 1731mW/1698mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.218C soc0@50C gpu@51.906C tj@53.593C soc1@50.625C VDD_IN 9682mW/9267mW VDD_CPU_GPU_CV 4707mW/4437mW VDD_SOC 1692mW/1697mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,33%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.843C soc2@50.187C soc0@50C gpu@52.062C tj@53.843C soc1@50.75C VDD_IN 10076mW/9314mW VDD_CPU_GPU_CV 5209mW/4482mW VDD_SOC 1731mW/1699mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,41%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.625C soc2@50.125C soc0@50.062C gpu@51.968C tj@53.625C soc1@50.625C VDD_IN 9721mW/9337mW VDD_CPU_GPU_CV 5013mW/4512mW VDD_SOC 1731mW/1701mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,36%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.625C soc2@50.218C soc0@50C gpu@51.843C tj@53.625C soc1@50.843C VDD_IN 9800mW/9361mW VDD_CPU_GPU_CV 4864mW/4530mW VDD_SOC 1692mW/1701mW
06-12-2026 19:49:39 RAM 1743/7607MB (lfb 55x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,41%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@50.25C soc0@50.125C gpu@51.843C tj@53.812C soc1@50.75C VDD_IN 9958mW/9391mW VDD_CPU_GPU_CV 5209mW/4564mW VDD_SOC 1729mW/1702mW
