06-12-2026 21:57:40 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54C soc2@50.656C soc0@50.625C gpu@52.187C tj@53.937C soc1@51.218C VDD_IN 9997mW/8964mW VDD_CPU_GPU_CV 4786mW/4086mW VDD_SOC 1692mW/1656mW
06-12-2026 21:57:40 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.718C soc0@50.531C gpu@52.25C tj@54.062C soc1@51.187C VDD_IN 9761mW/9021mW VDD_CPU_GPU_CV 5131mW/4161mW VDD_SOC 1692mW/1659mW
06-12-2026 21:57:40 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,33%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.687C soc0@50.437C gpu@52.312C tj@54.062C soc1@51.375C VDD_IN 9721mW/9067mW VDD_CPU_GPU_CV 5178mW/4229mW VDD_SOC 1692mW/1661mW
06-12-2026 21:57:40 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1728,50%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.656C soc0@50.625C gpu@52.562C tj@54.312C soc1@51.281C VDD_IN 9761mW/9111mW VDD_CPU_GPU_CV 4354mW/4237mW VDD_SOC 1692mW/1663mW
06-12-2026 21:57:40 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.781C soc0@50.625C gpu@52.406C tj@54.062C soc1@51.218C VDD_IN 10076mW/9167mW VDD_CPU_GPU_CV 4739mW/4266mW VDD_SOC 1692mW/1665mW
06-12-2026 21:57:40 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,33%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@50.75C soc0@50.5C gpu@52.687C tj@53.812C soc1@51.218C VDD_IN 9304mW/9175mW VDD_CPU_GPU_CV 3766mW/4238mW VDD_SOC 1692mW/1666mW
06-12-2026 21:57:40 RAM 1794/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,36%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.031C soc2@50.781C soc0@50.593C gpu@52.375C tj@54.031C soc1@51.406C VDD_IN 9407mW/9187mW VDD_CPU_GPU_CV 4504mW/4252mW VDD_SOC 1731mW/1670mW
06-12-2026 21:57:41 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,30%@1728] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.718C soc0@50.656C gpu@52.281C tj@54.218C soc1@51.25C VDD_IN 9603mW/9208mW VDD_CPU_GPU_CV 5170mW/4298mW VDD_SOC 1731mW/1673mW
06-12-2026 21:57:41 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,22%@1728,40%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.812C soc0@50.531C gpu@52.406C tj@54.093C soc1@51.5C VDD_IN 9564mW/9225mW VDD_CPU_GPU_CV 5248mW/4343mW VDD_SOC 1731mW/1675mW
06-12-2026 21:57:41 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,30%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@50.718C soc0@50.5C gpu@52.531C tj@54.437C soc1@51.343C VDD_IN 9564mW/9240mW VDD_CPU_GPU_CV 5248mW/4385mW VDD_SOC 1731mW/1678mW
06-12-2026 21:57:41 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,22%@1728,36%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.218C soc2@50.906C soc0@50.656C gpu@52.687C tj@54.218C soc1@51.281C VDD_IN 9564mW/9254mW VDD_CPU_GPU_CV 5326mW/4425mW VDD_SOC 1731mW/1680mW
06-12-2026 21:57:41 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,41%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.125C soc2@50.875C soc0@50.593C gpu@52.593C tj@54.125C soc1@51.5C VDD_IN 10036mW/9287mW VDD_CPU_GPU_CV 5287mW/4461mW VDD_SOC 1692mW/1681mW
06-12-2026 21:57:41 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,45%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.812C soc0@50.531C gpu@52.718C tj@54.281C soc1@51.406C VDD_IN 9761mW/9306mW VDD_CPU_GPU_CV 5287mW/4494mW VDD_SOC 1731mW/1683mW
06-12-2026 21:57:41 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1728,45%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.781C soc0@50.687C gpu@52.468C tj@54.312C soc1@51.343C VDD_IN 10272mW/9343mW VDD_CPU_GPU_CV 5366mW/4528mW VDD_SOC 1771mW/1686mW
06-12-2026 21:57:41 RAM 1794/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1728,60%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@50.875C soc0@50.687C gpu@52.406C tj@54.187C soc1@51.312C VDD_IN 10099mW/9371mW VDD_CPU_GPU_CV 5414mW/4561mW VDD_SOC 1692mW/1686mW
06-12-2026 21:57:41 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1728,54%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.875C soc0@50.562C gpu@52.5C tj@54.156C soc1@51.406C VDD_IN 10272mW/9403mW VDD_CPU_GPU_CV 5060mW/4579mW VDD_SOC 1734mW/1688mW
06-12-2026 21:57:42 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1728,53%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.906C soc0@50.656C gpu@52.468C tj@53.937C soc1@51.531C VDD_IN 9106mW/9393mW VDD_CPU_GPU_CV 4204mW/4566mW VDD_SOC 1613mW/1686mW
